Species	WP010_2A	WP011_3A	WP018_1B	WP020_3B	WP021_4B	WP022_5B	WP023_6B	WP024_7B	WP025_8B	WP016_8A	WP019_2B	WP009_1A	WP012_4A	WP013_5A	WP014_6A	WP015_7A	WP017_9A	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
GS11_sp	519.0	1756.0	261.0	71.0	6.0	1230.0	192.0	28.0	152.0	858.0	148.0	146.0	124.0	1.0	36.0	67.0	399.0	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS11	GS11_fam_Incertae_sedis	GS11_gen_Incertae_sedis	GS11_sp	5994.0	NA	ENA
Piloderma_lanatum	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2335.0	0.0	0.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma	Piloderma_lanatum	2339.0	Ectomycorrhizal	Myc
Mortierella_basiparvispora	51.0	26.0	31.0	70.0	77.0	4.0	893.0	106.0	8809.0	24.0	21.0	60.0	93.0	7.0	14.0	193.0	981.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_basiparvispora	11460.0	Endophyte, Litter Saprotroph, Soil Saprotroph, Undefined Saprotroph	Sap
Chaetosphaeriaceae_sp	19.0	13.0	12.0	4387.0	3.0	3.0	3.0	4.0	70.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeriaceae_gen_Incertae_sedis	Chaetosphaeriaceae_sp	4525.0	NA	ENA
Ilyonectria_mors-panacis	192.0	94.0	156.0	715.0	106.0	793.0	21.0	29.0	49.0	125.0	196.0	385.0	255.0	4.0	34.0	235.0	236.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria_mors-panacis	3625.0	Plant Pathogen	Pat
Saitozyma_podzolica	181.0	190.0	279.0	179.0	104.0	925.0	201.0	185.0	315.0	227.0	110.0	53.0	448.0	76.0	52.0	94.0	467.0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma_podzolica	4086.0	NA	ENA
Thelephora_sp	82.0	2.0	1917.0	14.0	3.0	4.0	219.0	2.0	908.0	0.0	33.0	0.0	0.0	0.0	12.0	2.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_sp	3198.0	NA	ENA
Geomyces_auratus	71.0	343.0	757.0	373.0	148.0	477.0	453.0	182.0	306.0	258.0	489.0	153.0	574.0	120.0	195.0	100.0	329.0	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Geomyces	Geomyces_auratus	5328.0	Soil Saprotroph	Sap
Agaricales_sp	689.0	164.0	5.0	519.0	3024.0	287.0	117.0	207.0	46.0	273.0	816.0	275.0	178.0	348.0	7914.0	3961.0	1437.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricales_fam_Incertae_sedis	Agaricales_gen_Incertae_sedis	Agaricales_sp	20260.0	NA	ENA
Rozellomycota_sp	363.0	3166.0	329.0	1302.0	541.0	1086.0	1481.0	546.0	2044.0	662.0	1833.0	778.0	1909.0	153.0	125.0	1597.0	3976.0	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp	21892.0	NA	ENA
