Species	WP010_2A	WP011_3A	WP018_1B	WP020_3B	WP021_4B	WP022_5B	WP023_6B	WP024_7B	WP025_8B	WP016_8A	WP019_2B	WP009_1A	WP012_4A	WP013_5A	WP014_6A	WP015_7A	WP017_9A	WP026_0	PCR_control	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
Albophoma_yamanashiensis	0.0	43.0	12.0	51.0	17.0	69.0	94.0	158.0	245.0	66.0	6.0	0.0	41.0	0.0	4.0	9.0	3.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Albophoma	Albophoma_yamanashiensis	818.0	NA	ENA
Laccaria_himalayensis	30.0	201.0	0.0	1203.0	2.0	1.0	18.0	98.0	4.0	268.0	86.0	0.0	88.0	0.0	1.0	1.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria_himalayensis	2001.0	Ectomycorrhizal	Myc
Genea_hispidula	0.0	5.0	0.0	472.0	1.0	0.0	1409.0	10.0	182.0	17.0	10.0	0.0	203.0	2.0	42.0	0.0	0.0	0.0	0.0	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Genea	Genea_hispidula	2353.0	Ectomycorrhizal	Myc
Nectria_ramulariae	27.0	185.0	81.0	153.0	102.0	54.0	48.0	6.0	17.0	32.0	107.0	13.0	167.0	1.0	3.0	137.0	82.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	Nectria_ramulariae	1215.0	Animal Pathogen, Endophyte, Fungal Parasite, Lichen Parasite, Plant Pathogen, Wood Saprotroph	Pat
Cortinarius_incisior	30.0	2.0	64.0	242.0	2.0	651.0	36.0	129.0	11.0	0.0	3.0	1.0	0.0	3.0	18.0	1.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_incisior	1193.0	Ectomycorrhizal	Myc
Trechispora_verruculosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	2.0	0.0	0.0	1.0	1.0	543.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora_verruculosa	720.0	Wood Saprotroph	Sap
Microbotryomycetes_sp	90.0	22.0	58.0	23.0	7.0	130.0	71.0	3457.0	17.0	29.0	25.0	1.0	82.0	0.0	0.0	6.0	3.0	0.0	0.0	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Microbotryomycetes_gen_Incertae_sedis	Microbotryomycetes_sp	4021.0	NA	ENA
GS18_sp	32.0	0.0	12.0	32.0	11.0	0.0	35.0	0.0	73.0	0.0	16.0	0.0	169.0	0.0	0.0	34.0	25.0	0.0	0.0	Fungi	Olpidiomycota	GS18	GS18_ord_Incertae_sedis	GS18_fam_Incertae_sedis	GS18_gen_Incertae_sedis	GS18_sp	439.0	NA	ENA
Drechslerella_sp	9.0	138.0	10.0	7.0	222.0	30.0	69.0	5.0	2.0	2.0	86.0	4.0	29.0	9.0	0.0	8.0	16.0	0.0	0.0	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella	Drechslerella_sp	646.0	Nematophagous	Nop
Cutaneotrichosporon_moniliiforme	4.0	15.0	240.0	28.0	2.0	4.0	2.0	1.0	6.0	3.0	159.0	7.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_moniliiforme	475.0	Animal Pathogen	Nop
